,Movie title,Released Year,ImDb Rating
0,Thor: Love and Thunder,(2022),6.4
1,Pinocchio,(I) (2022),5.1
2,Brahmastra Part One: Shiva,(2022),5.6
3,Moonfall,(2022),5.1
4,Beast,(I) (2022),5.6
5,Everything Everywhere All at Once,(2022),8.1
6,Morbius,(2022),5.2
7,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
8,Prey,(I) (2022),7.2
9,Jurassic World Dominion,(2022),5.7
10,Spider-Man: No Way Home,(2021),8.3
11,The Northman,(2022),7.1
12,DC League of Super-Pets,(2022),7.5
13,Willow,(1988),7.2
14,Dune,(2021),8
15,Doctor Strange in the Multiverse of Madness,(2022),7
16,Thirteen Lives,(2022),7.8
17,Enchanted,(2007),7.1
18,The Lord of the Rings: The Return of the King,(2003),9
19,Pinocchio,(1940),7.5
20,Avatar,(2009),7.8
21,The Lost City,(2022),6.1
22,Uncharted,(2022),6.3
23,Interstellar,(2014),8.6
24,Sing 2,(2021),7.4
25,The Lord of the Rings: The Two Towers,(2002),8.8
26,Harry Potter and the Sorcerer's Stone,(2001),7.6
27,Minions: The Rise of Gru,(2022),6.6
28,Lightyear,(2022),5.9
29,The Hobbit: An Unexpected Journey,(2012),7.8
30,Dragon Ball Super: Super Hero,(2022),7.2
31,Thor: Ragnarok,(2017),7.9
32,No Time to Die,(2021),7.3
33,The Mummy,(1999),7.1
34,The Little Mermaid,(1989),7.6
35,Avengers: Endgame,(2019),8.4
36,Inception,(2010),8.8
37,Jurassic Park,(1993),8.2
38,Eternals,(2021),6.3
39,Jaws,(1975),8.1
40,Black Widow,(2021),6.7
41,Ghostbusters: Afterlife,(2021),7.1
42,Fantastic Beasts: The Secrets of Dumbledore,(2022),6.2
43,Karthikeya 2,(2022),8.3
44,The Goonies,(1985),7.7
45,The Incredible Hulk,(2008),6.6
46,The Hobbit: The Desolation of Smaug,(2013),7.8
47,Thor,(2011),7
48,Vikrant Rona,(2022),7.4
49,Divergent,(2014),6.6
50,Free Guy,(2021),7.1
51,Guardians of the Galaxy,(2014),8
52,Inglourious Basterds,(2009),8.3
53,The Suicide Squad,(2021),7.2
54,Luck,(I) (2022),6.4
55,Gladiator,(2000),8.5
56,The Greatest Beer Run Ever,(2022),6.6
57,Indiana Jones and the Raiders of the Lost Ark,(1981),8.4
58,Rogue One: A Star Wars Story,(2016),7.8
59,Back to the Future,(1985),8.5
60,The King's Man,(2021),6.3
61,Mad Max: Fury Road,(2015),8.1
62,Indiana Jones and the Temple of Doom,(1984),7.5
63,The Hunger Games,(2012),7.2
64,Suicide Squad,(2016),5.9
65,Spider-Man,(2002),7.4
66,Catherine Called Birdy,(2022),6.6
67,Beauty and the Beast,(I) (2017),7.1
68,Avengers: Infinity War,(2018),8.4
69,Black Panther,(2018),7.3
70,Cars,(2006),7.2
71,The Bad Guys,(2022),6.8
72,Star Wars: Episode IV - A New Hope,(1977),8.6
73,The Hobbit: The Battle of the Five Armies,(2014),7.4
74,Captain Marvel,(2019),6.8
75,The Lion King,(1994),8.5
76,The Lion King,(2019),6.8
77,Sonic the Hedgehog 2,(2022),6.5
78,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.1
79,Stand by Me,(1986),8.1
80,Predator,(1987),7.8
81,Alita: Battle Angel,(2019),7.3
82,The Princess Bride,(1987),8
