,Movie title,Released Year,ImDb Rating
0,DC League of Super-Pets,(2022),7.5
1,Enchanted,(2007),7.1
2,Pinocchio,(1940),7.5
3,Sing 2,(2021),7.4
4,Minions: The Rise of Gru,(2022),6.6
5,Lightyear,(2022),5.9
6,Dragon Ball Super: Super Hero,(2022),7.2
7,The Little Mermaid,(1989),7.6
8,Luck,(I) (2022),6.4
9,Encanto,(2021),7.2
10,Cars,(2006),7.2
11,The Bad Guys,(2022),6.8
12,The Lion King,(1994),8.5
13,The Lion King,(2019),6.8
14,Inside Out,(I) (2015),8.2
15,Spider-Man: Into the Spider-Verse,(2018),8.4
16,The Sea Beast,(2022),7.1
17,Marcel the Shell with Shoes On,(2021),8
18,Chip 'n Dale: Rescue Rangers,(2022),7
19,Pinocchio: A True Story,(2021),4.1
20,Spirited Away,(2001),8.6
21,Turning Red,(2022),7
22,The Nightmare Before Christmas,(1993),7.9
23,The House,(III) (2022),6.8
24,Ratatouille,(2007),8.1
25,Wendell & Wild,(2022),7.5
26,Moana,(I) (2016),7.6
27,Coco,(I) (2017),8.4
28,Frozen,(I) (2013),7.4
29,Toy Story,(1995),8.3
30,Paws of Fury: The Legend of Hank,(2022),5.6
31,Coraline,(2009),7.7
32,Despicable Me,(2010),7.6
33,Zootopia,(2016),8
34,Hercules,(1997),7.3
35,Shrek,(2001),7.9
36,Your Name.,(2016),8.4
37,Up,(2009),8.3
38,The Incredibles,(2004),8
39,Howl's Moving Castle,(2004),8.2
40,WALL·E,(2008),8.4
41,Finding Nemo,(2003),8.2
42,Mad God,(2021),6.8
43,Sing,(2016),7.1
44,The Princess and the Frog,(2009),7.1
45,Sausage Party,(2016),6.1
46,"Monsters, Inc.",(2001),8.1
47,Tangled,(2010),7.7
48,Soul,(2020),8
49,Beauty and the Beast,(1991),8
50,Aladdin,(1992),8
51,Minions,(2015),6.4
52,Drifting Home,(2022),6.3
53,Luca,(2021),7.4
54,Tad the Lost Explorer and The Curse of the Mummy,(2022),6
55,Atlantis: The Lost Empire,(2001),6.9
56,Raya and the Last Dragon,(2021),7.3
57,Grave of the Fireflies,(1988),8.5
58,Mulan,(1998),7.6
59,Despicable Me 2,(2013),7.3
60,Who Framed Roger Rabbit,(1988),7.7
61,A Bug's Life,(I) (1998),7.2
62,The Iron Giant,(1999),8.1
63,Kung Fu Panda,(2008),7.6
64,Toy Story 4,(2019),7.7
65,Corpse Bride,(2005),7.3
66,Cars 3,(2017),6.7
67,Snow White and the Seven Dwarfs,(1937),7.6
68,How to Train Your Dragon,(2010),8.1
69,One Piece Film: Red,(2022),7.3
70,Frozen II,(2019),6.8
71,Princess Mononoke,(1997),8.4
72,Cars 2,(2011),6.2
73,Incredibles 2,(2018),7.6
74,Treasure Planet,(2002),7.1
75,The Lord of the Rings,(1978),6.2
76,Fantastic Mr. Fox,(2009),7.9
77,Robots,(2005),6.4
78,The Emperor's New Groove,(2000),7.4
79,Pocahontas,(I) (1995),6.7
80,Brave,(2012),7.1
81,Belle,(2021),7.1
82,Shrek 2,(2004),7.3
83,Toy Story 3,(2010),8.3
84,Madagascar,(2005),6.9
85,Akira,(1988),8
86,The Prince of Egypt,(1998),7.1
87,Wreck-It Ralph,(2012),7.7
88,Lilo & Stitch,(2002),7.3
89,Perfect Blue,(1997),8
90,Puss in Boots: The Last Wish,(2022),8.8
91,Big Hero 6,(2014),7.8
92,Mary Poppins Returns,(2018),6.7
93,Hotel Transylvania 4: Transformania,(2022),6
94,Ferdinand,(2017),6.7
95,Tarzan,(1999),7.3
96,Ice Age,(2002),7.5
97,My Neighbor Totoro,(1988),8.1
98,Monsters University,(2013),7.3
99,Anastasia,(1997),7.1
100,Hotel Transylvania,(2012),7
101,Despicable Me 3,(2017),6.2
102,The Mitchells vs the Machines,(2021),7.6
103,Megamind,(2010),7.3
104,The Secret Life of Pets,(2016),6.5
105,Toy Story 2,(1999),7.9
106,Monster House,(2006),6.6
107,Ralph Breaks the Internet,(2018),7
108,The Addams Family,(2019),5.8
109,The Jungle Book,(1967),7.6
110,The Bob's Burgers Movie,(2022),7
111,The Hunchback of Notre Dame,(1996),7
112,Rango,(2011),7.2
113,The Queen's Corgi,(2019),4.8
114,Beowulf,(2007),6.3
115,9,(I) (2009),7
116,Onward,(I) (2020),7.4
117,The Adventures of Tintin,(2011),7.3
118,Cloudy with a Chance of Meatballs,(2009),6.9
119,Cinderella,(1950),7.3
120,The Secret Life of Pets 2,(2019),6.4
121,A Goofy Movie,(1995),6.9
122,Cool World,(1992),4.8
123,PAW Patrol: The Movie,(2021),6.1
124,The Lego Movie,(2014),7.7
125,Space Jam: A New Legacy,(2021),4.4
126,Tom & Jerry,(2021),5.2
127,Bee Movie,(2007),6.1
128,Robin Hood,(1973),7.5
129,Chicken Run,(2000),7.1
130,The Book of Life,(2014),7.2
131,Ghost in the Shell,(1995),7.9
132,Space Jam,(1996),6.5
133,Demon Slayer the Movie: Mugen Train,(2020),8.2
134,Thunderbirds Are GO,(1966),6.4
135,Rise of the Teenage Mutant Ninja Turtles: The Movie,(2022),5.9
136,Finding Dory,(2016),7.3
137,Vivo,(I) (2021),6.6
138,Happy Feet,(2006),6.4
139,Heavy Metal,(1981),6.6
140,Peter Pan,(1953),7.3
141,Alvin and the Chipmunks,(2007),5.2
142,Oliver & Company,(1988),6.6
143,Clifford the Big Red Dog,(2021),5.9
144,Kung Fu Panda 3,(2016),7.1
145,Isle of Dogs,(2018),7.8
146,The Polar Express,(2004),6.6
147,FernGully: The Last Rainforest,(1992),6.5
148,How to Train Your Dragon: The Hidden World,(2019),7.4
149,Trolls,(2016),6.4
150,Ponyo,(2008),7.6
151,Bolt,(2008),6.8
152,James and the Giant Peach,(1996),6.7
153,Rio,(2011),6.9
154,The Croods,(2013),7.2
155,The Aristocats,(1970),7.1
156,Sleeping Beauty,(1959),7.2
157,The Croods: A New Age,(2020),6.9
158,The Addams Family 2,(2021),5.4
159,Meet the Robinsons,(2007),6.8
160,A Silent Voice: The Movie,(2016),8.1
161,Monkeybone,(2001),4.8
162,Dragon Ball Super: Broly,(2018),7.8
163,The Road to El Dorado,(2000),6.9
164,Beavis and Butt-Head Do the Universe,(2022),7
165,Alice in Wonderland,(1951),7.4
166,Kung Fu Panda 2,(2011),7.2
167,Home,(II) (2015),6.6
168,Shark Tale,(2004),6
169,The Boss Baby,(2017),6.3
170,Trolls 2: World Tour,(2020),6.1
171,Redline,(2009),7.5
172,Shrek the Third,(2007),6.1
173,The Lorax,(2012),6.4
174,Dinosaur,(2000),6.4
175,Rumble,(2021),5.9
176,Jujutsu Kaisen 0: The Movie,(2021),7.9
177,How to Train Your Dragon 2,(2014),7.8
178,The Lego Batman Movie,(2017),7.3
179,Weathering with You,(2019),7.5
180,Kiki's Delivery Service,(1989),7.8
181,The Land Before Time,(1988),7.4
182,The Angry Birds Movie,(2016),6.2
183,Fire and Ice,(1983),6.5
184,Flushed Away,(2006),6.6
185,Epic,(2013),6.6
186,Scoob!,(2020),5.6
187,The Fox and the Hound,(1981),7.2
188,The Good Dinosaur,(2015),6.7
189,The SpongeBob SquarePants Movie,(2004),7.1
190,The Boss Baby 2: Family Business,(2021),5.9
191,Brother Bear,(2003),6.8
192,The Emoji Movie,(2017),3.3
193,Antz,(1998),6.6
194,The Sword in the Stone,(1963),7.1
195,Lady and the Tramp,(1955),7.3
196,Klaus,(2019),8.1
197,One Hundred and One Dalmatians,(1961),7.3
198,Chicken Little,(2005),5.7
199,The Simpsons Movie,(2007),7.3
200,Rise of the Guardians,(2012),7.2
201,Looney Tunes: Back in Action,(2003),5.8
202,Fantasia,(1940),7.7
203,Fritz the Cat,(1972),6.2
204,Hotel Transylvania 3: Summer Vacation,(2018),6.3
205,Ron's Gone Wrong,(2021),7
206,The SpongeBob Movie: Sponge on the Run,(2020),5.9
207,Dumbo,(1941),7.2
208,All Dogs Go to Heaven,(1989),6.7
209,The Wind Rises,(2013),7.7
210,Castle in the Sky,(1986),8
211,The Rescuers,(1977),6.9
212,Wish Dragon,(2021),7.2
213,Paprika,(2006),7.7
214,Nausicaä of the Valley of the Wind,(1984),8
215,The Grinch,(2018),6.3
216,Planes,(2013),5.7
217,The Witcher: Nightmare of the Wolf,(2021),7.2
218,"South Park: Bigger, Longer & Uncut",(1999),7.7
219,Over the Hedge,(2006),6.7
220,An American Tail,(1986),6.9
221,Frankenweenie,(2012),6.9
222,Monsters vs. Aliens,(2009),6.4
223,Turbo,(2013),6.4
224,The Lego Movie 2: The Second Part,(2019),6.6
225,Neon Genesis Evangelion: The End of Evangelion,(1997),8
226,Hotel Transylvania 2,(2015),6.6
227,Ice Age: Collision Course,(2016),5.6
228,Madagascar 3: Europe's Most Wanted,(2012),6.8
229,The Secret World of Arrietty,(2010),7.6
230,The Smurfs,(2011),5.4
231,A Scanner Darkly,(2006),7
232,Bambi,(1942),7.3
233,A Christmas Carol,(2009),6.8
234,Garfield,(2004),5
235,The Secret of NIMH,(1982),7.5
236,The Black Cauldron,(1985),6.3
237,Spies in Disguise,(2019),6.8
238,Hey Good Lookin',(1982),6.1
239,My Little Pony: A New Generation,(2021),6.8
240,Waking Life,(2001),7.7
241,Mary and Max,(2009),8.1
242,Surf's Up,(2007),6.7
243,Wolfwalkers,(2020),8
244,Shrek Forever After,(2010),6.3
245,Rio 2,(2014),6.3
246,I Want to Eat Your Pancreas,(2018),8
247,Bedknobs and Broomsticks,(1971),7
248,Madagascar: Escape 2 Africa,(2008),6.6
249,Wizards,(1977),6.3
250,Open Season,(2006),6.1
251,Spirit: Stallion of the Cimarron,(2002),7.1
