,Movie title,Released Year,ImDb Rating
0,Thor: Love and Thunder,(2022),6.4
1,Pinocchio,(I) (2022),5.1
2,See How They Run,(2022),6.7
3,Bullet Train,(2022),7.5
4,Do Revenge,(2022),6.4
5,Everything Everywhere All at Once,(2022),8.1
6,This Is 40,(2012),6.2
7,Hocus Pocus,(1993),6.9
8,Clerks III,(2022),7.5
9,Ticket to Paradise,(2022),6.4
10,Me Time,(2022),5
11,"Confess, Fletch",(2022),6.5
12,My Son Hunter,(2022),6.1
13,Bodies Bodies Bodies,(2022),6.6
14,Licorice Pizza,(2021),7.2
15,Love in the Villa,(2022),5.3
16,DC League of Super-Pets,(2022),7.5
17,The Banshees of Inisherin,(2022),8.2
18,Day Shift,(2022),6.1
19,Knives Out,(2019),7.9
20,Weird: The Al Yankovic Story,(2022),7.6
21,Enchanted,(2007),7.1
22,Once Upon a Time in Hollywood,(2019),7.6
23,Vengeance,(II) (2022),6.8
24,House of Darkness,(2022),4.7
25,Pinocchio,(1940),7.5
26,The Lost City,(2022),6.1
27,About Fate,(2022),5.8
28,Sing 2,(2021),7.4
29,Minions: The Rise of Gru,(2022),6.6
30,Thor: Ragnarok,(2017),7.9
31,The Wolf of Wall Street,(2013),8.2
32,The Menu,(2022),7.8
33,Look Both Ways,(2022),6.3
34,I Used to Be Famous,(2022),6.7
35,The Gentlemen,(2019),7.8
36,The Little Mermaid,(1989),7.6
37,"Good Luck to You, Leo Grande",(2022),7.2
38,The Unbearable Weight of Massive Talent,(2022),7
39,Ghostbusters: Afterlife,(2021),7.1
40,Clueless,(1995),6.9
41,Singles,(1992),6.7
42,Triangle of Sadness,(2022),7.8
43,The Goonies,(1985),7.7
44,Free Guy,(2021),7.1
45,Guardians of the Galaxy,(2014),8
46,Honk for Jesus. Save Your Soul.,(2022),5.3
47,Don't Look Up,(2021),7.2
48,The Suicide Squad,(2021),7.2
49,Luck,(I) (2022),6.4
50,American Pie,(1999),7
51,The Greatest Beer Run Ever,(2022),6.6
52,Encanto,(2021),7.2
53,Out of Office,(2022),4.8
54,Back to the Future,(1985),8.5
55,Hustle,(2022),7.3
56,Dog,(I) (2022),6.5
57,Fresh,(2022),6.7
58,Beetlejuice,(1988),7.5
59,The Worst Person in the World,(2021),7.8
60,10 Things I Hate About You,(1999),7.3
61,Mrs. Harris Goes to Paris,(2022),7.1
62,Cars,(2006),7.2
63,The Bad Guys,(2022),6.8
64,Tusk,(I) (2014),5.3
65,Mean Girls,(2004),7.1
66,Hot Tub Time Machine,(2010),6.4
67,CODA,(2021),8
68,He's Just Not That Into You,(2009),6.4
69,"Crazy, Stupid, Love.",(2011),7.4
70,Sonic the Hedgehog 2,(2022),6.5
71,The French Dispatch,(2021),7.2
72,Operation Fortune: Ruse de guerre,(2022),7.3
73,Friday,(1995),7.2
74,La La Land,(2016),8
75,Deadpool,(2016),8
76,White Noise,(I) (2022),5.9
77,The Grand Budapest Hotel,(2014),8.1
78,This Is the End,(2013),6.6
79,Red Rocket,(2021),7.2
80,George of the Jungle,(1997),5.5
81,Laal Singh Chaddha,(2022),5
82,Inside Out,(I) (2015),8.2
83,Green Book,(2018),8.2
84,Baywatch,(2017),5.5
85,About Time,(I) (2013),7.8
86,Spider-Man: Into the Spider-Verse,(2018),8.4
87,Marry Me,(2022),6.1
