,Movie title,Released Year,ImDb Rating
0,Thor: Love and Thunder,(2022),6.4
1,Nope,(2022),7
2,Moonfall,(2022),5.1
3,Everything Everywhere All at Once,(2022),8.1
4,Morbius,(2022),5.2
5,Samaritan,(2022),5.7
6,Prey,(I) (2022),7.2
7,Jurassic World Dominion,(2022),5.7
8,Spider-Man: No Way Home,(2021),8.3
9,DC League of Super-Pets,(2022),7.5
10,Dune,(2021),8
11,Doctor Strange in the Multiverse of Madness,(2022),7
12,Avatar,(2009),7.8
13,Interstellar,(2014),8.6
14,Crimes of the Future,(2022),5.9
15,Minions: The Rise of Gru,(2022),6.6
16,Lightyear,(2022),5.9
17,Thor: Ragnarok,(2017),7.9
18,Avengers: Endgame,(2019),8.4
19,Tenet,(2020),7.3
20,Inception,(2010),8.8
21,Jurassic Park,(1993),8.2
22,Eternals,(2021),6.3
23,Black Widow,(2021),6.7
24,Blade Runner 2049,(2017),8
25,Ghostbusters: Afterlife,(2021),7.1
26,It Came from Outer Space,(1953),6.5
27,The Incredible Hulk,(2008),6.6
28,Spiderhead,(2022),5.4
29,Divergent,(2014),6.6
30,Free Guy,(2021),7.1
31,Guardians of the Galaxy,(2014),8
32,Don't Look Up,(2021),7.2
33,The Suicide Squad,(2021),7.2
34,A Clockwork Orange,(1971),8.3
35,Rogue One: A Star Wars Story,(2016),7.8
36,Back to the Future,(1985),8.5
37,Event Horizon,(1997),6.6
38,The Matrix,(1999),8.7
39,Alien,(1979),8.5
40,Mad Max: Fury Road,(2015),8.1
41,The Hunger Games,(2012),7.2
42,The Matrix Resurrections,(2021),5.7
43,Suicide Squad,(2016),5.9
44,Spider-Man,(2002),7.4
45,Infinite,(2021),5.4
46,The Prestige,(2006),8.5
47,Deus,(2022),4.1
48,Avengers: Infinity War,(2018),8.4
49,Black Panther,(2018),7.3
50,Hot Tub Time Machine,(2010),6.4
51,Star Wars: Episode IV - A New Hope,(1977),8.6
52,Captain Marvel,(2019),6.8
53,Sonic the Hedgehog 2,(2022),6.5
54,Blade Runner,(1982),8.1
55,Predator,(1987),7.8
56,Alita: Battle Angel,(2019),7.3
57,Deadpool,(2016),8
58,Spider-Man: Homecoming,(2017),7.4
59,Eternal Sunshine of the Spotless Mind,(2004),8.3
60,Shang-Chi and the Legend of the Ten Rings,(2021),7.4
61,Donnie Darko,(2001),8
62,Melancholia,(2011),7.1
63,About Time,(I) (2013),7.8
64,Spider-Man: Into the Spider-Verse,(2018),8.4
65,Ex Machina,(2014),7.7
66,Wonder Woman,(2017),7.4
67,The Avengers,(2012),8
68,Dune,(1984),6.3
69,Ready Player One,(2018),7.4
70,Zack Snyder's Justice League,(2021),8
71,The Fifth Element,(1997),7.6
72,The Adam Project,(2022),6.7
73,The Terminator,(1984),8.1
74,Iron Man,(2008),7.9
75,2001: A Space Odyssey,(1968),8.3
76,Ghostbusters,(1984),7.8
77,Vesper,(2022),7.2
78,Independence Day,(1996),7
79,Aliens,(1986),8.4
80,Looper,(2012),7.4
81,The Mist,(2007),7.1
82,Terminator 2: Judgment Day,(1991),8.6
83,Star Trek Beyond,(2016),7
84,Guardians of the Galaxy Vol. 2,(2017),7.6
85,Edge of Tomorrow,(2014),7.9
86,Idiocracy,(2006),6.5
87,Star Wars: Episode IX - The Rise of Skywalker,(2019),6.5
88,Passengers,(I) (2016),7
89,The Thing,(1982),8.2
90,Arrival,(II) (2016),7.9
91,Jurassic World,(2015),6.9
92,A Quiet Place,(2018),7.5
93,Under the Skin,(I) (2013),6.3
94,Annihilation,(I) (2018),6.8
95,Deadpool 2,(2018),7.7
96,Logan,(2017),8.1
97,Captain America: The First Avenger,(2011),6.9
98,Vanilla Sky,(2001),6.9
99,The Core,(2003),5.5
100,Jurassic World: Fallen Kingdom,(2018),6.1
101,X-Men,(2000),7.3
102,Secret Headquarters,(2022),5
103,E.T. the Extra-Terrestrial,(1982),7.9
104,The Predator,(2018),5.3
105,Close Encounters of the Third Kind,(1977),7.6
106,Star Trek,(2009),7.9
107,Watchmen,(2009),7.6
108,The Invisible Man,(I) (2020),7.1
109,Star Wars: Episode I - The Phantom Menace,(1999),6.5
110,Mortal Kombat,(2021),6.1
111,Ad Astra,(2019),6.5
112,The Tomorrow War,(2021),6.5
113,The Martian,(2015),8
114,Her,(2013),8
115,Venom: Let There Be Carnage,(2021),5.9
116,Transformers,(2007),7
117,Starship Troopers,(1997),7.3
118,Despicable Me,(2010),7.6
119,In Time,(2011),6.7
120,Prometheus,(I) (2012),7
121,Fantastic Four,(2015),4.3
122,Aquaman,(2018),6.8
123,Doctor Strange,(2016),7.5
124,Real Genius,(1985),6.9
125,V for Vendetta,(2005),8.2
126,Chaos Walking,(2021),5.7
127,The Hunger Games: Catching Fire,(2013),7.5
128,Man of Steel,(2013),7.1
129,Children of Men,(2006),7.9
130,Resident Evil: Welcome to Raccoon City,(2021),5.2
131,Avengers: Age of Ultron,(2015),7.3
132,The Amazing Spider-Man,(2012),6.9
133,28 Days Later...,(2002),7.5
134,Venom,(2018),6.6
135,The Platform,(2019),7
136,RoboCop,(2014),6.2
137,Hulk,(2003),5.6
138,A Quiet Place Part II,(2020),7.2
139,The Meg,(2018),5.6
140,The Fly,(1986),7.6
141,Alien: Covenant,(2017),6.4
142,Resident Evil,(2002),6.6
143,WALL·E,(2008),8.4
144,Captain America: Civil War,(2016),7.8
145,Justice League,(2017),6.1
146,Mad God,(2021),6.8
147,Ant-Man and the Wasp,(2018),7
148,Men in Black,(1997),7.3
149,TRON: Legacy,(2010),6.8
150,Snowpiercer,(2013),7.1
151,Galaxy Quest,(1999),7.4
152,Spider-Man 3,(2007),6.3
153,Solo: A Star Wars Story,(2018),6.9
154,Power Rangers,(2017),5.9
155,Star Wars: Episode VII - The Force Awakens,(2015),7.8
156,Weird Science,(1985),6.6
157,The Lobster,(2015),7.1
158,Star Wars: Episode III - Revenge of the Sith,(2005),7.6
159,War of the Worlds,(2005),6.5
160,Firestarter,(2022),4.6
161,The Butterfly Effect,(2004),7.6
162,The Maze Runner,(2014),6.8
163,Spider-Man: Far from Home,(2019),7.4
164,Ant-Man,(2015),7.3
165,Mad Max,(1979),6.8
166,RoboCop,(1987),7.6
167,The Running Man,(1987),6.6
168,Life,(I) (2017),6.6
169,Oblivion,(I) (2013),7
170,Wifelike,(2022),4.8
171,Star Wars: Episode V - The Empire Strikes Back,(1980),8.7
172,Star Wars: Episode VIII - The Last Jedi,(2017),6.9
173,Star Wars: Episode VI - Return of the Jedi,(1983),8.3
174,Sonic the Hedgehog,(2020),6.5
175,X-Men: The Last Stand,(2006),6.6
176,2012,(I) (2009),5.8
177,Mortal Engines,(2018),6.1
178,Titane,(2021),6.6
179,World War Z,(2013),7
180,Godzilla vs. Kong,(2021),6.3
181,Terminator Genisys,(2015),6.3
182,A.I. Artificial Intelligence,(2001),7.2
183,The World's End,(2013),6.9
184,Sky High,(2005),6.3
185,Superman,(1978),7.4
186,10 Cloverfield Lane,(2016),7.2
187,X-Men: Apocalypse,(2016),6.9
188,Iron Man 3,(2013),7.1
189,John Carter,(2012),6.6
190,The Purge,(I) (2013),5.7
191,Captain America: The Winter Soldier,(2014),7.8
192,I Am Legend,(2007),7.2
193,Gattaca,(1997),7.8
194,Minions,(2015),6.4
195,Terminator: Dark Fate,(2019),6.2
196,A Cure for Wellness,(2016),6.4
197,They Live,(1988),7.2
198,Finch,(2021),6.9
199,Minority Report,(2002),7.7
200,Predestination,(I) (2014),7.4
201,Blast from the Past,(1999),6.7
202,Possessor,(2020),6.5
203,Serenity,(2005),7.8
204,Dredd,(2012),7.1
205,Teenage Mutant Ninja Turtles,(1990),6.7
206,Cowboys & Aliens,(2011),6
207,Army of the Dead,(2021),5.7
208,The Faculty,(1998),6.5
209,The Lost World: Jurassic Park,(1997),6.5
210,X-Men: First Class,(2011),7.7
211,Gravity,(2013),7.7
212,Predators,(2010),6.4
213,Krull,(1983),6.1
214,Mars Attacks!,(1996),6.4
215,Kong: Skull Island,(2017),6.6
216,Killer Klowns from Outer Space,(1988),6.1
217,Batman v Superman: Dawn of Justice,(2016),6.4
218,Atlantis: The Lost Empire,(2001),6.9
219,Moon,(2009),7.8
220,The Day After Tomorrow,(2004),6.4
221,The Matrix Reloaded,(2003),7.2
222,X-Men: Days of Future Past,(2014),7.9
223,Despicable Me 2,(2013),7.3
224,Fantastic Four,(I) (2005),5.7
225,12 Monkeys,(1995),8
226,District 9,(2009),7.9
227,The Divergent Series: Insurgent,(2015),6.2
228,Journey to the Center of the Earth,(2008),5.8
229,The Iron Giant,(1999),8.1
230,Iron Man 2,(2010),6.9
231,Armageddon,(1998),6.7
232,Bird Box,(2018),6.6
233,The Host,(2013),5.8
234,Spider-Man 2,(2004),7.4
235,Elysium,(I) (2013),6.6
236,Total Recall,(1990),7.5
237,Blade,(1998),7.1
238,Predator 2,(1990),6.3
239,Glass,(2019),6.6
240,Batman & Robin,(1997),3.7
241,Source Code,(2011),7.5
242,Barbarella,(1968),5.8
243,Stargate,(1994),7
244,Limitless,(I) (2011),7.4
245,Hellboy,(2019),5.2
246,Star Wars: Episode II - Attack of the Clones,(2002),6.6
247,Cloud Atlas,(2012),7.4
248,Alphaville,(1965),7
249,Coherence,(2013),7.2
250,Allegiant,(2016),5.6
251,Men in Black 3,(2012),6.8
252,Doom,(2005),5.2
253,The Amazing Spider-Man 2,(2014),6.6
254,Ghostbusters,(2016),6.9
255,Green Lantern,(2011),5.5
256,Back to the Future Part II,(1989),7.8
257,Valerian and the City of a Thousand Planets,(2017),6.4
258,Transformers: The Last Knight,(2017),5.2
259,Dragonball Evolution,(2009),2.6
260,Lucy,(I) (2014),6.4
261,Alien³,(1992),6.4
262,The Fountain,(2006),7.2
263,Terminator Salvation,(2009),6.5
264,Love and Monsters,(I) (2020),6.9
265,Incredibles 2,(2018),7.6
266,Treasure Planet,(2002),7.1
267,Face/Off,(1997),7.3
268,The Call,(2020),7.1
269,Pacific Rim,(2013),6.9
270,Vivarium,(2019),5.8
271,Ghost in the Shell,(2017),6.3
272,Synchronic,(2019),6.2
273,Planet Terror,(2007),7.1
274,After Yang,(2022),6.7
275,Robots,(2005),6.4
276,Underwater,(2020),5.8
277,Alienoid,(2022),6.4
278,Geostorm,(2017),5.3
279,The Adjustment Bureau,(2011),7
280,Star Trek Into Darkness,(2013),7.7
281,Sunshine,(2007),7.2
282,Upgrade,(2018),7.5
283,Godzilla: King of the Monsters,(2019),6
284,Signs,(2002),6.8
285,Star Trek: The Motion Picture,(1979),6.4
286,Belle,(2021),7.1
287,Escape Room,(I) (2019),6.4
288,Planet of the Apes,(2001),5.7
289,X-Men Origins: Wolverine,(2009),6.5
290,Reminiscence,(2021),5.8
